ID	Gene Name	Species	GOTERM_BP_DIRECT
G6PC	glucose-6-phosphatase catalytic subunit(G6PC)	Homo sapiens	GO:0005977~glycogen metabolic process,GO:0005980~glycogen catabolic process,GO:0006094~gluconeogenesis,GO:0006641~triglyceride metabolic process,GO:0008202~steroid metabolic process,GO:0010468~regulation of gene expression,GO:0015758~glucose transport,GO:0015760~glucose-6-phosphate transport,GO:0032094~response to food,GO:0035264~multicellular organism growth,GO:0042593~glucose homeostasis,GO:0042632~cholesterol homeostasis,GO:0046415~urate metabolic process,GO:0046838~phosphorylated carbohydrate dephosphorylation,GO:0051156~glucose 6-phosphate metabolic process,
GADL1	glutamate decarboxylase like 1(GADL1)	Homo sapiens	GO:0008652~cellular amino acid biosynthetic process,
GRIK5	glutamate ionotropic receptor kainate type subunit 5(GRIK5)	Homo sapiens	GO:0006621~protein retention in ER lumen,GO:0031630~regulation of synaptic vesicle fusion to presynaptic membrane,GO:0034220~ion transmembrane transport,GO:0035235~ionotropic glutamate receptor signaling pathway,GO:0035249~synaptic transmission, glutamatergic,GO:0043113~receptor clustering,GO:0043525~positive regulation of neuron apoptotic process,GO:0051649~establishment of localization in cell,GO:0060079~excitatory postsynaptic potential,GO:0071333~cellular response to glucose stimulus,
GRM1	glutamate metabotropic receptor 1(GRM1)	Homo sapiens	GO:0000186~activation of MAPKK activity,GO:0000187~activation of MAPK activity,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0007216~G-protein coupled glutamate receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007626~locomotory behavior,GO:0019233~sensory perception of pain,GO:0038042~dimeric G-protein coupled receptor signaling pathway,GO:0051482~positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway,GO:0051930~regulation of sensory perception of pain,GO:0051966~regulation of synaptic transmission, glutamatergic,GO:0071257~cellular response to electrical stimulus,
GPAT3	glycerol-3-phosphate acyltransferase 3(GPAT3)	Homo sapiens	GO:0006654~phosphatidic acid biosynthetic process,GO:0016024~CDP-diacylglycerol biosynthetic process,GO:0019432~triglyceride biosynthetic process,GO:0032006~regulation of TOR signaling,
CGA	glycoprotein hormones, alpha polypeptide(CGA)	Homo sapiens	GO:0006590~thyroid hormone generation,GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0008406~gonad development,GO:0016486~peptide hormone processing,GO:0030335~positive regulation of cell migration,GO:0030878~thyroid gland development,GO:0032275~luteinizing hormone secretion,GO:0032870~cellular response to hormone stimulus,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046621~negative regulation of organ growth,GO:0046884~follicle-stimulating hormone secretion,GO:0048589~developmental growth,
GPC5	glypican 5(GPC5)	Homo sapiens	GO:0001523~retinoid metabolic process,GO:0006024~glycosaminoglycan biosynthetic process,GO:0006027~glycosaminoglycan catabolic process,GO:0030203~glycosaminoglycan metabolic process,
GREM1	gremlin 1, DAN family BMP antagonist(GREM1)	Homo sapiens	GO:0000902~cell morphogenesis,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0002042~cell migration involved in sprouting angiogenesis,GO:0002092~positive regulation of receptor internalization,GO:0003257~positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation,GO:0003337~mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0006915~apoptotic process,GO:0007165~signal transduction,GO:0007171~activation of transmembrane receptor protein tyrosine kinase activity,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0009954~proximal/distal pattern formation,GO:0010717~regulation of epithelial to mesenchymal transition,GO:0030199~collagen fibril organization,GO:0030308~negative regulation of cell growth,GO:0030326~embryonic limb morphogenesis,GO:0030502~negative regulation of bone mineralization,GO:0030514~negative regulation of BMP signaling pathway,GO:0032331~negative regulation of chondrocyte differentiation,GO:0032872~regulation of stress-activated MAPK cascade,GO:0033689~negative regulation of osteoblast proliferation,GO:0042346~positive regulation of NF-kappaB import into nucleus,GO:0043066~negative regulation of apoptotic process,GO:0045766~positive regulation of angiogenesis,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046851~negative regulation of bone remodeling,GO:0048263~determination of dorsal identity,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051893~regulation of focal adhesion assembly,GO:0051973~positive regulation of telomerase activity,GO:0060173~limb development,GO:0060394~negative regulation of pathway-restricted SMAD protein phosphorylation,GO:0060676~ureteric bud formation,GO:0061098~positive regulation of protein tyrosine kinase activity,GO:0072331~signal transduction by p53 class mediator,GO:0090027~negative regulation of monocyte chemotaxis,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090190~positive regulation of branching involved in ureteric bud morphogenesis,GO:0090191~negative regulation of branching involved in ureteric bud morphogenesis,GO:0090291~negative regulation of osteoclast proliferation,GO:1900086~positive regulation of peptidyl-tyrosine autophosphorylation,GO:1900155~negative regulation of bone trabecula formation,GO:1900158~negative regulation of bone mineralization involved in bone maturation,GO:2000273~positive regulation of receptor activity,GO:2000727~positive regulation of cardiac muscle cell differentiation,
GUCA1C	guanylate cyclase activator 1C(GUCA1C)	Homo sapiens	GO:0007165~signal transduction,GO:0007601~visual perception,GO:0022400~regulation of rhodopsin mediated signaling pathway,GO:0031284~positive regulation of guanylate cyclase activity,
HP	haptoglobin(HP)	Homo sapiens	GO:0002376~immune system process,GO:0006898~receptor-mediated endocytosis,GO:0006952~defense response,GO:0006953~acute-phase response,GO:0010942~positive regulation of cell death,GO:0042542~response to hydrogen peroxide,GO:0042742~defense response to bacterium,GO:0051354~negative regulation of oxidoreductase activity,GO:0098869~cellular oxidant detoxification,GO:2000296~negative regulation of hydrogen peroxide catabolic process,
HSPA2	heat shock protein family A (Hsp70) member 2(HSPA2)	Homo sapiens	GO:0006986~response to unfolded protein,GO:0007140~male meiosis,GO:0007141~male meiosis I,GO:0007283~spermatogenesis,GO:0007286~spermatid development,GO:0009408~response to heat,GO:0009409~response to cold,GO:0031662~positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G2/M transition of mitotic cell cycle,GO:0042026~protein refolding,GO:0070194~synaptonemal complex disassembly,GO:0090084~negative regulation of inclusion body assembly,GO:1901896~positive regulation of calcium-transporting ATPase activity,
HSPB6	heat shock protein family B (small) member 6(HSPB6)	Homo sapiens	GO:0006937~regulation of muscle contraction,
HHATL	hedgehog acyltransferase-like(HHATL)	Homo sapiens	GO:0060262~negative regulation of N-terminal protein palmitoylation,
HELT	helt bHLH transcription factor(HELT)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001967~suckling behavior,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0007417~central nervous system development,GO:0009791~post-embryonic development,GO:0010259~multicellular organism aging,GO:0021858~GABAergic neuron differentiation in basal ganglia,GO:0035264~multicellular organism growth,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
HS6ST2	heparan sulfate 6-O-sulfotransferase 2(HS6ST2)	Homo sapiens	GO:0006024~glycosaminoglycan biosynthetic process,GO:0015015~heparan sulfate proteoglycan biosynthetic process, enzymatic modification,
HS3ST5	heparan sulfate-glucosamine 3-sulfotransferase 5(HS3ST5)	Homo sapiens	GO:0006024~glycosaminoglycan biosynthetic process,GO:0006477~protein sulfation,GO:0015015~heparan sulfate proteoglycan biosynthetic process, enzymatic modification,GO:0046596~regulation of viral entry into host cell,GO:0050819~negative regulation of coagulation,
HS3ST6	heparan sulfate-glucosamine 3-sulfotransferase 6(HS3ST6)	Homo sapiens	GO:0006024~glycosaminoglycan biosynthetic process,
HRG	histidine rich glycoprotein(HRG)	Homo sapiens	GO:0001525~angiogenesis,GO:0002576~platelet degranulation,GO:0002839~positive regulation of immune response to tumor cell,GO:0006935~chemotaxis,GO:0007162~negative regulation of cell adhesion,GO:0008285~negative regulation of cell proliferation,GO:0010468~regulation of gene expression,GO:0010543~regulation of platelet activation,GO:0010593~negative regulation of lamellipodium assembly,GO:0010951~negative regulation of endopeptidase activity,GO:0015886~heme transport,GO:0016525~negative regulation of angiogenesis,GO:0030168~platelet activation,GO:0030193~regulation of blood coagulation,GO:0030308~negative regulation of cell growth,GO:0032956~regulation of actin cytoskeleton organization,GO:0033629~negative regulation of cell adhesion mediated by integrin,GO:0042730~fibrinolysis,GO:0043065~positive regulation of apoptotic process,GO:0043254~regulation of protein complex assembly,GO:0043537~negative regulation of blood vessel endothelial cell migration,GO:0050730~regulation of peptidyl-tyrosine phosphorylation,GO:0050832~defense response to fungus,GO:0051894~positive regulation of focal adhesion assembly,GO:0051918~negative regulation of fibrinolysis,GO:1900747~negative regulation of vascular endothelial growth factor signaling pathway,GO:2000504~positive regulation of blood vessel remodeling,GO:2001027~negative regulation of endothelial cell chemotaxis,
HIST1H1E	histone cluster 1 H1 family member e(HIST1H1E)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006334~nucleosome assembly,GO:0016584~nucleosome positioning,GO:0080182~histone H3-K4 trimethylation,GO:0098532~histone H3-K27 trimethylation,
HIST1H4C	histone cluster 1 H4 family member c(HIST1H4C)	Homo sapiens	GO:0000183~chromatin silencing at rDNA,GO:0006303~double-strand break repair via nonhomologous end joining,GO:0006334~nucleosome assembly,GO:0006335~DNA replication-dependent nucleosome assembly,GO:0006336~DNA replication-independent nucleosome assembly,GO:0006352~DNA-templated transcription, initiation,GO:0016233~telomere capping,GO:0031047~gene silencing by RNA,GO:0032200~telomere organization,GO:0034080~CENP-A containing nucleosome assembly,GO:0044267~cellular protein metabolic process,GO:0045653~negative regulation of megakaryocyte differentiation,GO:0045814~negative regulation of gene expression, epigenetic,GO:0045815~positive regulation of gene expression, epigenetic,GO:0051290~protein heterotetramerization,GO:1904837~beta-catenin-TCF complex assembly,
HOXB9	homeobox B9(HOXB9)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0009952~anterior/posterior pattern specification,GO:0030879~mammary gland development,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048706~embryonic skeletal system development,GO:0060070~canonical Wnt signaling pathway,GO:0060326~cell chemotaxis,
HAP1	huntingtin associated protein 1(HAP1)	Homo sapiens	GO:0006887~exocytosis,GO:0006914~autophagy,GO:0007268~chemical synaptic transmission,GO:0007420~brain development,GO:0008089~anterograde axonal transport,GO:0008090~retrograde axonal transport,GO:0008104~protein localization,GO:0015031~protein transport,GO:0017157~regulation of exocytosis,GO:0021549~cerebellum development,GO:0021979~hypothalamus cell differentiation,GO:0030030~cell projection organization,GO:0031587~positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity,GO:0032230~positive regulation of synaptic transmission, GABAergic,GO:0032901~positive regulation of neurotrophin production,GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway,GO:0047496~vesicle transport along microtubule,GO:0048011~neurotrophin TRK receptor signaling pathway,GO:0050769~positive regulation of neurogenesis,GO:1902430~negative regulation of beta-amyloid formation,GO:1902513~regulation of organelle transport along microtubule,GO:1902857~positive regulation of nonmotile primary cilium assembly,GO:2000766~negative regulation of cytoplasmic translation,
HYAL4	hyaluronoglucosaminidase 4(HYAL4)	Homo sapiens	GO:0005975~carbohydrate metabolic process,GO:0006027~glycosaminoglycan catabolic process,GO:0030207~chondroitin sulfate catabolic process,
HCAR2	hydroxycarboxylic acid receptor 2(HCAR2)	Homo sapiens	GO:0001781~neutrophil apoptotic process,GO:0007186~G-protein coupled receptor signaling pathway,GO:0033031~positive regulation of neutrophil apoptotic process,GO:0050995~negative regulation of lipid catabolic process,GO:0070165~positive regulation of adiponectin secretion,
HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2(HCN2)	Homo sapiens	GO:0007267~cell-cell signaling,GO:0034765~regulation of ion transmembrane transport,GO:0035725~sodium ion transmembrane transport,GO:0042391~regulation of membrane potential,GO:0060078~regulation of postsynaptic membrane potential,GO:0071320~cellular response to cAMP,GO:0071321~cellular response to cGMP,GO:0071805~potassium ion transmembrane transport,GO:0086012~membrane depolarization during cardiac muscle cell action potential,GO:0098719~sodium ion import across plasma membrane,GO:1990573~potassium ion import across plasma membrane,
HCRTR2	hypocretin receptor 2(HCRTR2)	Homo sapiens	GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007218~neuropeptide signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007631~feeding behavior,GO:0010840~regulation of circadian sleep/wake cycle, wakefulness,GO:0022410~circadian sleep/wake cycle process,GO:0032870~cellular response to hormone stimulus,GO:0045187~regulation of circadian sleep/wake cycle, sleep,GO:0051480~regulation of cytosolic calcium ion concentration,GO:1901652~response to peptide,
IGSF11	immunoglobulin superfamily member 11(IGSF11)	Homo sapiens	GO:0007155~cell adhesion,GO:0040008~regulation of growth,
INPP5J	inositol polyphosphate-5-phosphatase J(INPP5J)	Homo sapiens	GO:0006661~phosphatidylinositol biosynthetic process,GO:0010977~negative regulation of neuron projection development,GO:0031115~negative regulation of microtubule polymerization,GO:0033137~negative regulation of peptidyl-serine phosphorylation,GO:0043647~inositol phosphate metabolic process,GO:0046856~phosphatidylinositol dephosphorylation,
ITPKA	inositol-trisphosphate 3-kinase A(ITPKA)	Homo sapiens	GO:0006020~inositol metabolic process,GO:0006468~protein phosphorylation,GO:0007165~signal transduction,GO:0030036~actin cytoskeleton organization,GO:0043647~inositol phosphate metabolic process,GO:0048167~regulation of synaptic plasticity,GO:0061003~positive regulation of dendritic spine morphogenesis,GO:0097062~dendritic spine maintenance,
INSL6	insulin like 6(INSL6)	Homo sapiens	GO:0007286~spermatid development,GO:0008584~male gonad development,GO:0009566~fertilization,GO:0030317~sperm motility,GO:0043066~negative regulation of apoptotic process,
IGF2	insulin like growth factor 2(IGF2)	Homo sapiens	GO:0001501~skeletal system development,GO:0001503~ossification,GO:0001934~positive regulation of protein phosphorylation,GO:0002576~platelet degranulation,GO:0006006~glucose metabolic process,GO:0006349~regulation of gene expression by genetic imprinting,GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,GO:0008284~positive regulation of cell proliferation,GO:0008286~insulin receptor signaling pathway,GO:0038028~insulin receptor signaling pathway via phosphatidylinositol 3-kinase,GO:0042104~positive regulation of activated T cell proliferation,GO:0043085~positive regulation of catalytic activity,GO:0043410~positive regulation of MAPK cascade,GO:0044267~cellular protein metabolic process,GO:0045725~positive regulation of glycogen biosynthetic process,GO:0045840~positive regulation of mitotic nuclear division,GO:0046628~positive regulation of insulin receptor signaling pathway,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0051781~positive regulation of cell division,GO:0051897~positive regulation of protein kinase B signaling,GO:0071902~positive regulation of protein serine/threonine kinase activity,GO:2000273~positive regulation of receptor activity,GO:2000467~positive regulation of glycogen (starch) synthase activity,
IGFBPL1	insulin like growth factor binding protein like 1(IGFBPL1)	Homo sapiens	GO:0001558~regulation of cell growth,
INSRR	insulin receptor related receptor(INSRR)	Homo sapiens	GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030238~male sex determination,GO:0031532~actin cytoskeleton reorganization,GO:0046777~protein autophosphorylation,GO:0071469~cellular response to alkaline pH,
ITGB6	integrin subunit beta 6(ITGB6)	Homo sapiens	GO:0006954~inflammatory response,GO:0007155~cell adhesion,GO:0007160~cell-matrix adhesion,GO:0007229~integrin-mediated signaling pathway,GO:0030198~extracellular matrix organization,GO:0033627~cell adhesion mediated by integrin,GO:0046718~viral entry into host cell,
ITLN1	intelectin 1(ITLN1)	Homo sapiens	GO:0001934~positive regulation of protein phosphorylation,GO:0009624~response to nematode,GO:0046326~positive regulation of glucose import,
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2(ITIH2)	Homo sapiens	GO:0010951~negative regulation of endopeptidase activity,GO:0030212~hyaluronan metabolic process,
IFIT1B	interferon induced protein with tetratricopeptide repeats 1B(IFIT1B)	Homo sapiens	GO:0051607~defense response to virus,
IL11	interleukin 11(IL11)	Homo sapiens	GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0030183~B cell differentiation,GO:0030219~megakaryocyte differentiation,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0043410~positive regulation of MAPK cascade,GO:0045444~fat cell differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046888~negative regulation of hormone secretion,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:1903659~regulation of complement-dependent cytotoxicity,GO:2000352~negative regulation of endothelial cell apoptotic process,
IL6	interleukin 6(IL6)	Homo sapiens	GO:0001781~neutrophil apoptotic process,GO:0001878~response to yeast,GO:0002384~hepatic immune response,GO:0002446~neutrophil mediated immunity,GO:0002526~acute inflammatory response,GO:0002548~monocyte chemotaxis,GO:0002675~positive regulation of acute inflammatory response,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006469~negative regulation of protein kinase activity,GO:0006953~acute-phase response,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0006959~humoral immune response,GO:0007568~aging,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0008360~regulation of cell shape,GO:0009408~response to heat,GO:0009409~response to cold,GO:0010574~regulation of vascular endothelial growth factor production,GO:0010628~positive regulation of gene expression,GO:0010888~negative regulation of lipid storage,GO:0010976~positive regulation of neuron projection development,GO:0010996~response to auditory stimulus,GO:0016049~cell growth,GO:0019221~cytokine-mediated signaling pathway,GO:0030168~platelet activation,GO:0031000~response to caffeine,GO:0031018~endocrine pancreas development,GO:0031175~neuron projection development,GO:0031669~cellular response to nutrient levels,GO:0032494~response to peptidoglycan,GO:0032722~positive regulation of chemokine production,GO:0032755~positive regulation of interleukin-6 production,GO:0032868~response to insulin,GO:0032966~negative regulation of collagen biosynthetic process,GO:0033138~positive regulation of peptidyl-serine phosphorylation,GO:0033160~positive regulation of protein import into nucleus, translocation,GO:0035729~cellular response to hepatocyte growth factor stimulus,GO:0042060~wound healing,GO:0042102~positive regulation of T cell proliferation,GO:0042493~response to drug,GO:0042517~positive regulation of tyrosine phosphorylation of Stat3 protein,GO:0042593~glucose homeostasis,GO:0042832~defense response to protozoan,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0043200~response to amino acid,GO:0043410~positive regulation of MAPK cascade,GO:0045079~negative regulation of chemokine biosynthetic process,GO:0045188~regulation of circadian sleep/wake cycle, non-REM sleep,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045454~cell redox homeostasis,GO:0045599~negative regulation of fat cell differentiation,GO:0045630~positive regulation of T-helper 2 cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045721~negative regulation of gluconeogenesis,GO:0045727~positive regulation of translation,GO:0045740~positive regulation of DNA replication,GO:0045765~regulation of angiogenesis,GO:0045779~negative regulation of bone resorption,GO:0045837~negative regulation of membrane potential,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046427~positive regulation of JAK-STAT cascade,GO:0046677~response to antibiotic,GO:0046716~muscle cell cellular homeostasis,GO:0046849~bone remodeling,GO:0046888~negative regulation of hormone secretion,GO:0048635~negative regulation of muscle organ development,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050710~negative regulation of cytokine secretion,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0050871~positive regulation of B cell activation,GO:0051024~positive regulation of immunoglobulin secretion,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051384~response to glucocorticoid,GO:0051592~response to calcium ion,GO:0051602~response to electrical stimulus,GO:0051607~defense response to virus,GO:0051897~positive regulation of protein kinase B signaling,GO:0051971~positive regulation of transmission of nerve impulse,GO:0060445~branching involved in salivary gland morphogenesis,GO:0060664~epithelial cell proliferation involved in salivary gland morphogenesis,GO:0070091~glucagon secretion,GO:0070102~interleukin-6-mediated signaling pathway,GO:0070301~cellular response to hydrogen peroxide,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071222~cellular response to lipopolysaccharide,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071392~cellular response to estradiol stimulus,GO:0071549~cellular response to dexamethasone stimulus,GO:0071864~positive regulation of cell proliferation in bone marrow,GO:0072540~T-helper 17 cell lineage commitment,GO:1901215~negative regulation of neuron death,GO:1990646~cellular response to prolactin,GO:2000366~positive regulation of STAT protein import into nucleus,GO:2000553~positive regulation of T-helper 2 cell cytokine production,GO:2000660~negative regulation of interleukin-1-mediated signaling pathway,GO:2000676~positive regulation of type B pancreatic cell apoptotic process,
ISX	intestine specific homeobox(ISX)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:1901738~regulation of vitamin A metabolic process,GO:1904479~negative regulation of intestinal absorption,
IYD	iodotyrosine deiodinase(IYD)	Homo sapiens	GO:0006590~thyroid hormone generation,GO:0055114~oxidation-reduction process,GO:0098869~cellular oxidant detoxification,
IRX1	iroquois homeobox 1(IRX1)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0072086~specification of loop of Henle identity,GO:0072272~proximal/distal pattern formation involved in metanephric nephron development,
IRX2	iroquois homeobox 2(IRX2)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0072086~specification of loop of Henle identity,GO:0072272~proximal/distal pattern formation involved in metanephric nephron development,
KLK5	kallikrein related peptidase 5(KLK5)	Homo sapiens	GO:0002803~positive regulation of antibacterial peptide production,GO:0006508~proteolysis,GO:0008544~epidermis development,GO:0045745~positive regulation of G-protein coupled receptor protein signaling pathway,
KLK6	kallikrein related peptidase 6(KLK6)	Homo sapiens	GO:0007417~central nervous system development,GO:0009611~response to wounding,GO:0010975~regulation of neuron projection development,GO:0016485~protein processing,GO:0016540~protein autoprocessing,GO:0030574~collagen catabolic process,GO:0042246~tissue regeneration,GO:0042445~hormone metabolic process,GO:0042552~myelination,GO:0042982~amyloid precursor protein metabolic process,GO:0045595~regulation of cell differentiation,GO:0045745~positive regulation of G-protein coupled receptor protein signaling pathway,GO:0070997~neuron death,
KLK7	kallikrein related peptidase 7(KLK7)	Homo sapiens	GO:0002803~positive regulation of antibacterial peptide production,GO:0006508~proteolysis,GO:0008544~epidermis development,GO:0022617~extracellular matrix disassembly,
KLHL1	kelch like family member 1(KLHL1)	Homo sapiens	GO:0007628~adult walking behavior,GO:0016358~dendrite development,GO:0016567~protein ubiquitination,GO:0021680~cerebellar Purkinje cell layer development,GO:0030036~actin cytoskeleton organization,
KLHL14	kelch like family member 14(KLHL14)	Homo sapiens	GO:0016567~protein ubiquitination,
KLHL3	kelch like family member 3(KLHL3)	Homo sapiens	GO:0016567~protein ubiquitination,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:0050801~ion homeostasis,GO:0070294~renal sodium ion absorption,GO:0070936~protein K48-linked ubiquitination,GO:0072156~distal tubule morphogenesis,
KSR2	kinase suppressor of ras 2(KSR2)	Homo sapiens	GO:0006468~protein phosphorylation,GO:0035556~intracellular signal transduction,
KIF1A	kinesin family member 1A(KIF1A)	Homo sapiens	GO:0007018~microtubule-based movement,GO:0008089~anterograde axonal transport,
KNG1	kininogen 1(KNG1)	Homo sapiens	GO:0002576~platelet degranulation,GO:0006954~inflammatory response,GO:0007162~negative regulation of cell adhesion,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007597~blood coagulation, intrinsic pathway,GO:0010951~negative regulation of endopeptidase activity,GO:0030195~negative regulation of blood coagulation,GO:0042311~vasodilation,GO:0043065~positive regulation of apoptotic process,GO:0045861~negative regulation of proteolysis,
KLB	klotho beta(KLB)	Homo sapiens	GO:0000165~MAPK cascade,GO:0005975~carbohydrate metabolic process,GO:0008284~positive regulation of cell proliferation,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0043547~positive regulation of GTPase activity,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0090080~positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway,GO:1901657~glycosyl compound metabolic process,
KY	kyphoscoliosis peptidase(KY)	Homo sapiens	GO:0006508~proteolysis,
LTF	lactotransferrin(LTF)	Homo sapiens	GO:0001503~ossification,GO:0001817~regulation of cytokine production,GO:0001895~retina homeostasis,GO:0002227~innate immune response in mucosa,GO:0006351~transcription, DNA-templated,GO:0006508~proteolysis,GO:0006811~ion transport,GO:0006959~humoral immune response,GO:0019731~antibacterial humoral response,GO:0019732~antifungal humoral response,GO:0031665~negative regulation of lipopolysaccharide-mediated signaling pathway,GO:0032680~regulation of tumor necrosis factor production,GO:0032780~negative regulation of ATPase activity,GO:0033214~iron assimilation by chelation and transport,GO:0033690~positive regulation of osteoblast proliferation,GO:0034145~positive regulation of toll-like receptor 4 signaling pathway,GO:0043066~negative regulation of apoptotic process,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0044267~cellular protein metabolic process,GO:0044793~negative regulation by host of viral process,GO:0045071~negative regulation of viral genome replication,GO:0045454~cell redox homeostasis,GO:0045669~positive regulation of osteoblast differentiation,GO:0048525~negative regulation of viral process,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0060349~bone morphogenesis,GO:0071902~positive regulation of protein serine/threonine kinase activity,GO:1900159~positive regulation of bone mineralization involved in bone maturation,GO:1900229~negative regulation of single-species biofilm formation in or on host organism,GO:1902732~positive regulation of chondrocyte proliferation,GO:2000308~negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,GO:2001205~negative regulation of osteoclast development,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens	GO:0007155~cell adhesion,GO:0008544~epidermis development,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0031581~hemidesmosome assembly,GO:0035987~endodermal cell differentiation,GO:0050873~brown fat cell differentiation,
LAMB4	laminin subunit beta 4(LAMB4)	Homo sapiens	GO:0007155~cell adhesion,
LEFTY1	left-right determination factor 1(LEFTY1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0003007~heart morphogenesis,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007368~determination of left/right symmetry,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0016049~cell growth,GO:0042981~regulation of apoptotic process,GO:0043408~regulation of MAPK cascade,GO:0048468~cell development,GO:0060395~SMAD protein signal transduction,
LINGO2	leucine rich repeat and Ig domain containing 2(LINGO2)	Homo sapiens	GO:0007409~axonogenesis,GO:0051965~positive regulation of synapse assembly,
LGR5	leucine rich repeat containing G protein-coupled receptor 5(LGR5)	Homo sapiens	GO:0001942~hair follicle development,GO:0007186~G-protein coupled receptor signaling pathway,GO:0009994~oocyte differentiation,GO:0042127~regulation of cell proliferation,GO:0048839~inner ear development,GO:0090263~positive regulation of canonical Wnt signaling pathway,GO:2001013~epithelial cell proliferation involved in renal tubule morphogenesis,
