ID	Gene Name	Species	GOTERM_CC_DIRECT
LGR5	leucine rich repeat containing G protein-coupled receptor 5(LGR5)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0032588~trans-Golgi network membrane,
LRRTM3	leucine rich repeat transmembrane neuronal 3(LRRTM3)	Homo sapiens	GO:0005737~cytoplasm,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0045211~postsynaptic membrane,
LSAMP	limbic system-associated membrane protein(LSAMP)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0031225~anchored component of membrane,
LCN2	lipocalin 2(LCN2)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005623~cell,GO:0005829~cytosol,GO:0070062~extracellular exosome,
LHCGR	luteinizing hormone/choriogonadotropin receptor(LHCGR)	Homo sapiens	GO:0005768~endosome,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
MRO	maestro(MRO)	Homo sapiens	GO:0005730~nucleolus,
MFSD4A	major facilitator superfamily domain containing 4A(MFSD4A)	Homo sapiens	GO:0016021~integral component of membrane,
MRAP2	melanocortin 2 receptor accessory protein 2(MRAP2)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
MTNR1A	melatonin receptor 1A(MTNR1A)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0043235~receptor complex,
MT1G	metallothionein 1G(MT1G)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0048471~perinuclear region of cytoplasm,
MT1H	metallothionein 1H(MT1H)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0048471~perinuclear region of cytoplasm,
MCCD1	mitochondrial coiled-coil domain 1(MCCD1)	Homo sapiens	GO:0005739~mitochondrion,
MAPK4	mitogen-activated protein kinase 4(MAPK4)	Homo sapiens	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,
MKX	mohawk homeobox(MKX)	Homo sapiens	GO:0005634~nucleus,
MOGAT2	monoacylglycerol O-acyltransferase 2(MOGAT2)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
MLNR	motilin receptor(MLNR)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,
MUC15	mucin 15, cell surface associated(MUC15)	Homo sapiens	GO:0005576~extracellular region,GO:0005796~Golgi lumen,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
MUC6	mucin 6, oligomeric mucus/gel-forming(MUC6)	Homo sapiens	GO:0005576~extracellular region,GO:0005796~Golgi lumen,
MYZAP	myocardial zonula adherens protein(MYZAP)	Homo sapiens	GO:0005622~intracellular,GO:0030018~Z disc,GO:0030054~cell junction,GO:0030864~cortical actin cytoskeleton,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0031674~I band,
MRLN	myoregulin(MRLN)	Homo sapiens	GO:0016021~integral component of membrane,GO:0033017~sarcoplasmic reticulum membrane,
MYH1	myosin heavy chain 1(MYH1)	Homo sapiens	GO:0005859~muscle myosin complex,GO:0014704~intercalated disc,GO:0016459~myosin complex,GO:0031672~A band,GO:0032982~myosin filament,GO:0036464~cytoplasmic ribonucleoprotein granule,
MYH7	myosin heavy chain 7(MYH7)	Homo sapiens	GO:0001725~stress fiber,GO:0005859~muscle myosin complex,GO:0016459~myosin complex,GO:0030017~sarcomere,GO:0030018~Z disc,GO:0032982~myosin filament,
MYH8	myosin heavy chain 8(MYH8)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005859~muscle myosin complex,GO:0030017~sarcomere,GO:0032982~myosin filament,
MYLK3	myosin light chain kinase 3(MYLK3)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0015629~actin cytoskeleton,
NKD1	naked cuticle homolog 1(NKD1)	Homo sapiens	GO:0000159~protein phosphatase type 2A complex,GO:0005737~cytoplasm,GO:0005886~plasma membrane,
NKD2	naked cuticle homolog 2(NKD2)	Homo sapiens	GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0016323~basolateral plasma membrane,GO:0016328~lateral plasma membrane,GO:0031410~cytoplasmic vesicle,GO:0071944~cell periphery,
NEB	nebulin(NEB)	Homo sapiens	GO:0005829~cytosol,GO:0005865~striated muscle thin filament,GO:0015629~actin cytoskeleton,GO:0030018~Z disc,GO:0043234~protein complex,GO:0070062~extracellular exosome,
NTNG1	netrin G1(NTNG1)	Homo sapiens	GO:0046658~anchored component of plasma membrane,
NELL1	neural EGFL like 1(NELL1)	Homo sapiens	GO:0005576~extracellular region,GO:0005635~nuclear envelope,GO:0005737~cytoplasm,GO:0048471~perinuclear region of cytoplasm,
NEU4	neuraminidase 4(NEU4)	Homo sapiens	GO:0005739~mitochondrion,GO:0005764~lysosome,GO:0019866~organelle inner membrane,GO:0043202~lysosomal lumen,
NRXN1	neurexin 1(NRXN1)	Homo sapiens	GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030139~endocytic vesicle,GO:0031965~nuclear membrane,GO:0031982~vesicle,GO:0042734~presynaptic membrane,GO:0043025~neuronal cell body,GO:0043234~protein complex,GO:0044295~axonal growth cone,GO:0098793~presynapse,
NMUR2	neuromedin U receptor 2(NMUR2)	Homo sapiens	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
NMRK2	nicotinamide riboside kinase 2(NMRK2)	Homo sapiens	GO:0005622~intracellular,
NOS1	nitric oxide synthase 1(NOS1)	Homo sapiens	GO:0001917~photoreceptor inner segment,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005901~caveola,GO:0016529~sarcoplasmic reticulum,GO:0030018~Z disc,GO:0030315~T-tubule,GO:0033017~sarcoplasmic reticulum membrane,GO:0042383~sarcolemma,GO:0043197~dendritic spine,GO:0043234~protein complex,GO:0045121~membrane raft,GO:0045202~synapse,GO:0048471~perinuclear region of cytoplasm,GO:1990425~ryanodine receptor complex,
NCCRP1	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)(NCCRP1)	Homo sapiens	GO:0005737~cytoplasm,GO:0070062~extracellular exosome,
NPAP1	nuclear pore associated protein 1(NPAP1)	Homo sapiens	GO:0005637~nuclear inner membrane,GO:0005654~nucleoplasm,GO:0044613~nuclear pore central transport channel,GO:0044615~nuclear pore nuclear basket,GO:0070062~extracellular exosome,
NR1I3	nuclear receptor subfamily 1 group I member 3(NR1I3)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,
OLFM3	olfactomedin 3(OLFM3)	Homo sapiens	GO:0005615~extracellular space,GO:0005794~Golgi apparatus,GO:0030054~cell junction,GO:0032281~AMPA glutamate receptor complex,GO:0045202~synapse,
OLFM4	olfactomedin 4(OLFM4)	Homo sapiens	GO:0005615~extracellular space,GO:0005739~mitochondrion,GO:0005886~plasma membrane,GO:0030141~secretory granule,GO:0042581~specific granule,GO:0042582~azurophil granule,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,
ORM1	orosomucoid 1(ORM1)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
OVCH2	ovochymase 2 (gene/pseudogene)(OVCH2)	Homo sapiens	GO:0005576~extracellular region,
OXGR1	oxoglutarate receptor 1(OXGR1)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
PAK5	p21 (RAC1) activated kinase 5(PAK5)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,
PITX1	paired like homeodomain 1(PITX1)	Homo sapiens	GO:0005634~nucleus,GO:0005667~transcription factor complex,GO:0005730~nucleolus,GO:0005737~cytoplasm,
PAPPA	pappalysin 1(PAPPA)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016021~integral component of membrane,
PAPPA2	pappalysin 2(PAPPA2)	Homo sapiens	GO:0005576~extracellular region,GO:0005622~intracellular,GO:0070062~extracellular exosome,
PTH1R	parathyroid hormone 1 receptor(PTH1R)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0031526~brush border membrane,GO:0043235~receptor complex,GO:0070062~extracellular exosome,
PVALB	parvalbumin(PVALB)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0043025~neuronal cell body,GO:0043195~terminal bouton,GO:0043234~protein complex,GO:0070062~extracellular exosome,
PTCHD1	patched domain containing 1(PTCHD1)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
PM20D1	peptidase M20 domain containing 1(PM20D1)	Homo sapiens	GO:0070062~extracellular exosome,
PAH	phenylalanine hydroxylase(PAH)	Homo sapiens	GO:0005829~cytosol,GO:0070062~extracellular exosome,
PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma(PIK3C2G)	Homo sapiens	GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005942~phosphatidylinositol 3-kinase complex,
PLA2G4F	phospholipase A2 group IVF(PLA2G4F)	Homo sapiens	GO:0005737~cytoplasm,GO:0005765~lysosomal membrane,GO:0005829~cytosol,GO:0031982~vesicle,GO:0032587~ruffle membrane,
PLA2R1	phospholipase A2 receptor 1(PLA2R1)	Homo sapiens	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0043235~receptor complex,GO:0070062~extracellular exosome,
PLCZ1	phospholipase C zeta 1(PLCZ1)	Homo sapiens	GO:0005634~nucleus,GO:0005829~cytosol,GO:0048471~perinuclear region of cytoplasm,
PLD5	phospholipase D family member 5(PLD5)	Homo sapiens	GO:0016021~integral component of membrane,
PLPP4	phospholipid phosphatase 4(PLPP4)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
PLPPR1	phospholipid phosphatase related 1(PLPPR1)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
PSAT1	phosphoserine aminotransferase 1(PSAT1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,
PLAC4	placenta specific 4(PLAC4)	Homo sapiens	GO:0019028~viral capsid,
PKP1	plakophilin 1(PKP1)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005882~intermediate filament,GO:0005886~plasma membrane,GO:0030057~desmosome,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,
PLG	plasminogen(PLG)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0031093~platelet alpha granule lumen,GO:0031232~extrinsic component of external side of plasma membrane,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
PLXNA4	plexin A4(PLXNA4)	Homo sapiens	GO:0002116~semaphorin receptor complex,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
PKHD1L1	polycystic kidney and hepatic disease 1 (autosomal recessive)-like 1(PKHD1L1)	Homo sapiens	GO:0005615~extracellular space,GO:0005829~cytosol,GO:0005929~cilium,GO:0016021~integral component of membrane,
KCTD8	potassium channel tetramerization domain containing 8(KCTD8)	Homo sapiens	GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0042734~presynaptic membrane,GO:0043235~receptor complex,GO:0045211~postsynaptic membrane,
KCNK10	potassium two pore domain channel subfamily K member 10(KCNK10)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
KCNK15	potassium two pore domain channel subfamily K member 15(KCNK15)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,
KCNIP1	potassium voltage-gated channel interacting protein 1(KCNIP1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0030425~dendrite,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,
KCNS2	potassium voltage-gated channel modifier subfamily S member 2(KCNS2)	Homo sapiens	GO:0005886~plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0016021~integral component of membrane,GO:0048471~perinuclear region of cytoplasm,
KCNA4	potassium voltage-gated channel subfamily A member 4(KCNA4)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0016021~integral component of membrane,GO:0030424~axon,
KCND2	potassium voltage-gated channel subfamily D member 2(KCND2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0030054~cell junction,GO:0031226~intrinsic component of plasma membrane,GO:0032809~neuronal cell body membrane,GO:0043025~neuronal cell body,GO:0043197~dendritic spine,GO:0043204~perikaryon,GO:0044853~plasma membrane raft,GO:0045211~postsynaptic membrane,
KCNE1B	potassium voltage-gated channel subfamily E regulatory subunit 1B(KCNE1B)	Homo sapiens	GO:0016021~integral component of membrane,
KCNJ1	potassium voltage-gated channel subfamily J member 1(KCNJ1)	Homo sapiens	GO:0005886~plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0016021~integral component of membrane,
KCNJ10	potassium voltage-gated channel subfamily J member 10(KCNJ10)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0098793~presynapse,
KCNJ13	potassium voltage-gated channel subfamily J member 13(KCNJ13)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
PSG5	pregnancy specific beta-1-glycoprotein 5(PSG5)	Homo sapiens	GO:0005576~extracellular region,
PROX1	prospero homeobox 1(PROX1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,
PTGDS	prostaglandin D2 synthase(PTGDS)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005789~endoplasmic reticulum membrane,GO:0005791~rough endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0031965~nuclear membrane,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,
PTGER1	prostaglandin E receptor 1(PTGER1)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
PSCA	prostate stem cell antigen(PSCA)	Homo sapiens	GO:0005886~plasma membrane,GO:0031225~anchored component of membrane,GO:0070062~extracellular exosome,
PROC	protein C, inactivator of coagulation factors Va and VIIIa(PROC)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0005794~Golgi apparatus,GO:0005796~Golgi lumen,
PROZ	protein Z, vitamin K dependent plasma glycoprotein(PROZ)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,GO:0005796~Golgi lumen,GO:0070062~extracellular exosome,
PTPRO	protein tyrosine phosphatase, receptor type O(PTPRO)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0016328~lateral plasma membrane,GO:0030027~lamellipodium,GO:0030424~axon,GO:0030426~growth cone,GO:0043005~neuron projection,GO:0043197~dendritic spine,GO:0070062~extracellular exosome,
PTPRQ	protein tyrosine phosphatase, receptor type Q(PTPRQ)	Homo sapiens	GO:0016021~integral component of membrane,GO:0032421~stereocilium bundle,
PLP1	proteolipid protein 1(PLP1)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0043209~myelin sheath,
PCDH15	protocadherin related 15(PCDH15)	Homo sapiens	GO:0001750~photoreceptor outer segment,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0032420~stereocilium,GO:0045202~synapse,GO:0070062~extracellular exosome,
P2RX2	purinergic receptor P2X 2(P2RX2)	Homo sapiens	GO:0005639~integral component of nuclear inner membrane,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016324~apical plasma membrane,GO:0043235~receptor complex,
RASD1	ras related dexamethasone induced 1(RASD1)	Homo sapiens	GO:0005634~nucleus,GO:0005886~plasma membrane,GO:0016529~sarcoplasmic reticulum,GO:0048471~perinuclear region of cytoplasm,
RAMP1	receptor activity modifying protein 1(RAMP1)	Homo sapiens	GO:0005615~extracellular space,GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0043235~receptor complex,
RPRM	reprimo, TP53 dependent G2 arrest mediator candidate(RPRM)	Homo sapiens	GO:0005737~cytoplasm,GO:0016021~integral component of membrane,
RBP2	retinol binding protein 2(RBP2)	Homo sapiens	GO:0005829~cytosol,
RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)(RDH12)	Homo sapiens	GO:0005622~intracellular,GO:0060342~photoreceptor inner segment membrane,
RDH8	retinol dehydrogenase 8 (all-trans)(RDH8)	Homo sapiens	GO:0005737~cytoplasm,GO:0005887~integral component of plasma membrane,
RNF212B	ring finger protein 212B(RNF212B)	Homo sapiens	GO:0000795~synaptonemal complex,
RNF223	ring finger protein 223(RNF223)	Homo sapiens	GO:0016021~integral component of membrane,
RIPPLY1	ripply transcriptional repressor 1(RIPPLY1)	Homo sapiens	GO:0005634~nucleus,
SGCZ	sarcoglycan zeta(SGCZ)	Homo sapiens	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0016012~sarcoglycan complex,GO:0016021~integral component of membrane,GO:0042383~sarcolemma,
SCEL	sciellin(SCEL)	Homo sapiens	GO:0001533~cornified envelope,GO:0005737~cytoplasm,GO:0070062~extracellular exosome,
SOST	sclerostin(SOST)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005794~Golgi apparatus,GO:0031012~extracellular matrix,GO:0043234~protein complex,
SFRP1	secreted frizzled related protein 1(SFRP1)	Homo sapiens	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005615~extracellular space,GO:0005622~intracellular,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0031012~extracellular matrix,GO:0070062~extracellular exosome,
SEZ6L	seizure related 6 homolog like(SEZ6L)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,GO:0043025~neuronal cell body,
SPINK13	serine peptidase inhibitor, Kazal type 13 (putative)(SPINK13)	Homo sapiens	GO:0001669~acrosomal vesicle,GO:0005615~extracellular space,
SERPINA5	serpin family A member 5(SERPINA5)	Homo sapiens	GO:0002080~acrosomal membrane,GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0009897~external side of plasma membrane,GO:0016020~membrane,GO:0031091~platelet alpha granule,GO:0031094~platelet dense tubular network,GO:0036024~protein C inhibitor-TMPRSS7 complex,GO:0036025~protein C inhibitor-TMPRSS11E complex,GO:0036026~protein C inhibitor-PLAT complex,GO:0036027~protein C inhibitor-PLAU complex,GO:0036028~protein C inhibitor-thrombin complex,GO:0036029~protein C inhibitor-KLK3 complex,GO:0036030~protein C inhibitor-plasma kallikrein complex,GO:0043234~protein complex,GO:0070062~extracellular exosome,GO:0097181~protein C inhibitor-coagulation factor V complex,GO:0097182~protein C inhibitor-coagulation factor Xa complex,GO:0097183~protein C inhibitor-coagulation factor XI complex,
SERPINC1	serpin family C member 1(SERPINC1)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,
SERPIND1	serpin family D member 1(SERPIND1)	Homo sapiens	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0070062~extracellular exosome,
SHISA3	shisa family member 3(SHISA3)	Homo sapiens	GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
SIAH3	siah E3 ubiquitin protein ligase family member 3(SIAH3)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,
SCUBE3	signal peptide, CUB domain and EGF like domain containing 3(SCUBE3)	Homo sapiens	GO:0005576~extracellular region,GO:0009986~cell surface,
STAP1	signal transducing adaptor family member 1(STAP1)	Homo sapiens	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0043234~protein complex,
SIM2	single-minded family bHLH transcription factor 2(SIM2)	Homo sapiens	GO:0005634~nucleus,GO:0005654~nucleoplasm,
SMCO3	single-pass membrane protein with coiled-coil domains 3(SMCO3)	Homo sapiens	GO:0016021~integral component of membrane,
SMIM18	small integral membrane protein 18(SMIM18)	Homo sapiens	GO:0016021~integral component of membrane,
SCNN1B	sodium channel epithelial 1 beta subunit(SCNN1B)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009897~external side of plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0030659~cytoplasmic vesicle membrane,GO:0034706~sodium channel complex,GO:0070062~extracellular exosome,
SCNN1G	sodium channel epithelial 1 gamma subunit(SCNN1G)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009897~external side of plasma membrane,GO:0016324~apical plasma membrane,GO:0034706~sodium channel complex,GO:0070062~extracellular exosome,
SCN7A	sodium voltage-gated channel alpha subunit 7(SCN7A)	Homo sapiens	GO:0001518~voltage-gated sodium channel complex,GO:0005886~plasma membrane,GO:0097386~glial cell projection,
SLC1A7	solute carrier family 1 member 7(SLC1A7)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
SLC12A1	solute carrier family 12 member 1(SLC12A1)	Homo sapiens	GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0070062~extracellular exosome,
SLC12A3	solute carrier family 12 member 3(SLC12A3)	Homo sapiens	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0070062~extracellular exosome,
SLC13A1	solute carrier family 13 member 1(SLC13A1)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,
SLC13A2	solute carrier family 13 member 2(SLC13A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
SLC13A3	solute carrier family 13 member 3(SLC13A3)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
SLC14A1	solute carrier family 14 member 1 (Kidd blood group)(SLC14A1)	Homo sapiens	GO:0005730~nucleolus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0043231~intracellular membrane-bounded organelle,
SLC14A2	solute carrier family 14 member 2(SLC14A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,
SLC22A13	solute carrier family 22 member 13(SLC22A13)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0070062~extracellular exosome,
SLC22A7	solute carrier family 22 member 7(SLC22A7)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,
SLC22A8	solute carrier family 22 member 8(SLC22A8)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,GO:0070062~extracellular exosome,
SLC24A2	solute carrier family 24 member 2(SLC24A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,
SLC26A4	solute carrier family 26 member 4(SLC26A4)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031526~brush border membrane,GO:0070062~extracellular exosome,
SLC28A2	solute carrier family 28 member 2(SLC28A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,
SLC30A2	solute carrier family 30 member 2(SLC30A2)	Homo sapiens	GO:0005737~cytoplasm,GO:0005765~lysosomal membrane,GO:0005770~late endosome,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,
SLC30A8	solute carrier family 30 member 8(SLC30A8)	Homo sapiens	GO:0005623~cell,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0016023~cytoplasmic, membrane-bounded vesicle,GO:0030141~secretory granule,GO:0030658~transport vesicle membrane,GO:0030667~secretory granule membrane,GO:0031410~cytoplasmic vesicle,
SLC34A1	solute carrier family 34 member 1(SLC34A1)	Homo sapiens	GO:0005737~cytoplasm,GO:0005768~endosome,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005903~brush border,GO:0009986~cell surface,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031226~intrinsic component of plasma membrane,GO:0031526~brush border membrane,GO:0031982~vesicle,GO:0045121~membrane raft,GO:0048471~perinuclear region of cytoplasm,
SLC34A3	solute carrier family 34 member 3(SLC34A3)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005903~brush border,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0031526~brush border membrane,GO:0031982~vesicle,
SLC36A2	solute carrier family 36 member 2(SLC36A2)	Homo sapiens	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,
SLC38A3	solute carrier family 38 member 3(SLC38A3)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,
SLC4A11	solute carrier family 4 member 11(SLC4A11)	Homo sapiens	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016323~basolateral plasma membrane,
SLC4A9	solute carrier family 4 member 9(SLC4A9)	Homo sapiens	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0045177~apical part of cell,
SLC47A2	solute carrier family 47 member 2(SLC47A2)	Homo sapiens	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,
