ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
HAL	histidine ammonia-lyase(HAL)	Homo sapiens				GO:0006548~histidine catabolic process,GO:0019556~histidine catabolic process to glutamate and formamide,GO:0019557~histidine catabolic process to glutamate and formate,	GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0004397~histidine ammonia-lyase activity,GO:0016841~ammonia-lyase activity,	IPR001106:Aromatic amino acid lyase,IPR005921:Histidine ammonia-lyase,IPR008948:L-Aspartase-like,IPR021922:Protein of unknown function DUF3534,IPR022313:Phenylalanine/histidine ammonia-lyases, active site,IPR024083:Fumarase/histidase, N-terminal,	hsa00340:Histidine metabolism,hsa01100:Metabolic pathways,	235800~Histidinemia,			Alternative splicing,Complete proteome,Disease mutation,Histidine metabolism,Lyase,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Histidine ammonia-lyase,cross-link:5-imidazolinone (Ala-Gly),modified residue,sequence variant,
HRG	histidine rich glycoprotein(HRG)	Homo sapiens				GO:0001525~angiogenesis,GO:0002576~platelet degranulation,GO:0002839~positive regulation of immune response to tumor cell,GO:0006935~chemotaxis,GO:0007162~negative regulation of cell adhesion,GO:0008285~negative regulation of cell proliferation,GO:0010468~regulation of gene expression,GO:0010543~regulation of platelet activation,GO:0010593~negative regulation of lamellipodium assembly,GO:0010951~negative regulation of endopeptidase activity,GO:0015886~heme transport,GO:0016525~negative regulation of angiogenesis,GO:0030168~platelet activation,GO:0030193~regulation of blood coagulation,GO:0030308~negative regulation of cell growth,GO:0032956~regulation of actin cytoskeleton organization,GO:0033629~negative regulation of cell adhesion mediated by integrin,GO:0042730~fibrinolysis,GO:0043065~positive regulation of apoptotic process,GO:0043254~regulation of protein complex assembly,GO:0043537~negative regulation of blood vessel endothelial cell migration,GO:0050730~regulation of peptidyl-tyrosine phosphorylation,GO:0050832~defense response to fungus,GO:0051894~positive regulation of focal adhesion assembly,GO:0051918~negative regulation of fibrinolysis,GO:1900747~negative regulation of vascular endothelial growth factor signaling pathway,GO:2000504~positive regulation of blood vessel remodeling,GO:2001027~negative regulation of endothelial cell chemotaxis,	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0031093~platelet alpha granule lumen,GO:0036019~endolysosome,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0008270~zinc ion binding,GO:0019865~immunoglobulin binding,GO:0020037~heme binding,GO:0043395~heparan sulfate proteoglycan binding,GO:0046872~metal ion binding,	IPR000010:Proteinase inhibitor I25, cystatin,		613116~Thrombophilia due to elevated HRG,613116~Thrombophilia due to HRG deficiency,		SM00043:CY,	Angiogenesis,Blood coagulation,Chemotaxis,Cleavage on pair of basic residues,Complete proteome,Copper,Direct protein sequencing,Disease mutation,Disulfide bond,Fibrinolysis,Glycoprotein,Hemostasis,Heparin-binding,Metal-binding,Polymorphism,Reference proteome,Repeat,Secreted,Signal,Thrombophilia,Zinc,	chain:Histidine-rich glycoprotein,compositionally biased region:His/Pro-rich,compositionally biased region:Pro-rich,disulfide bond,domain:Cystatin 1,domain:Cystatin 2,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,
HAGHL	hydroxyacylglutathione hydrolase-like(HAGHL)	Homo sapiens				GO:0019243~methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione,		GO:0004416~hydroxyacylglutathione hydrolase activity,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,	IPR001279:Beta-lactamase-like,IPR017782:Hydroxyacylglutathione hydrolase,	hsa00620:Pyruvate metabolism,			SM00849:SM00849,	Alternative splicing,Complete proteome,Hydrolase,Metal-binding,Proteomics identification,Reference proteome,Zinc,	chain:Hydroxyacylglutathione hydrolase-like protein,metal ion-binding site:Zinc 1,metal ion-binding site:Zinc 2,splice variant,
INHBE	inhibin beta E subunit(INHBE)	Homo sapiens				GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0042981~regulation of apoptotic process,GO:0043408~regulation of MAPK cascade,GO:0048468~cell development,GO:0060395~SMAD protein signal transduction,	GO:0005576~extracellular region,GO:0005615~extracellular space,	GO:0005125~cytokine activity,GO:0005160~transforming growth factor beta receptor binding,GO:0005179~hormone activity,GO:0008083~growth factor activity,	IPR001318:Inhibin, beta C subunit,IPR001839:Transforming growth factor-beta, C-terminal,IPR015615:Transforming growth factor-beta-related,IPR017948:Transforming growth factor beta, conserved site,	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,			SM00204:TGFB,	Cleavage on pair of basic residues,Complete proteome,Disulfide bond,Glycoprotein,Growth factor,Hormone,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,	chain:Inhibin beta E chain,disulfide bond,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,
INPP5J	inositol polyphosphate-5-phosphatase J(INPP5J)	Homo sapiens				GO:0006661~phosphatidylinositol biosynthetic process,GO:0010977~negative regulation of neuron projection development,GO:0031115~negative regulation of microtubule polymerization,GO:0033137~negative regulation of peptidyl-serine phosphorylation,GO:0043647~inositol phosphate metabolic process,GO:0046856~phosphatidylinositol dephosphorylation,	GO:0001726~ruffle,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0030426~growth cone,GO:0043198~dendritic shaft,	GO:0004439~phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity,GO:0004445~inositol-polyphosphate 5-phosphatase activity,GO:0005515~protein binding,GO:0016787~hydrolase activity,GO:0017124~SH3 domain binding,GO:0034485~phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity,GO:0052658~inositol-1,4,5-trisphosphate 5-phosphatase activity,GO:0052659~inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity,	IPR000300:Inositol polyphosphate-related phosphatase,IPR005135:Endonuclease/exonuclease/phosphatase,	hsa00562:Inositol phosphate metabolism,hsa01100:Metabolic pathways,hsa04070:Phosphatidylinositol signaling system,			SM00128:IPPc,	Alternative splicing,Complete proteome,Cytoplasm,Hydrolase,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,SH3-binding,	chain:Phosphatidylinositol 4,5-bisphosphate 5- phosphatase A,compositionally biased region:Pro-rich,compositionally biased region:Ser-rich,modified residue,region of interest:Catalytic,region of interest:Required for ruffle localization,sequence conflict,sequence variant,short sequence motif:RSXSXX motif 1,short sequence motif:RSXSXX motif 2,short sequence motif:RSXSXX motif 3,short sequence motif:RSXSXX motif 4,short sequence motif:RSXSXX motif 5,short sequence motif:SH3-binding,splice variant,
IGF2	insulin like growth factor 2(IGF2)	Homo sapiens				GO:0001501~skeletal system development,GO:0001503~ossification,GO:0001934~positive regulation of protein phosphorylation,GO:0002576~platelet degranulation,GO:0006006~glucose metabolic process,GO:0006349~regulation of gene expression by genetic imprinting,GO:0006355~regulation of transcription, DNA-templated,GO:0007275~multicellular organism development,GO:0008284~positive regulation of cell proliferation,GO:0008286~insulin receptor signaling pathway,GO:0038028~insulin receptor signaling pathway via phosphatidylinositol 3-kinase,GO:0042104~positive regulation of activated T cell proliferation,GO:0043085~positive regulation of catalytic activity,GO:0043410~positive regulation of MAPK cascade,GO:0044267~cellular protein metabolic process,GO:0045725~positive regulation of glycogen biosynthetic process,GO:0045840~positive regulation of mitotic nuclear division,GO:0046628~positive regulation of insulin receptor signaling pathway,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0051781~positive regulation of cell division,GO:0051897~positive regulation of protein kinase B signaling,GO:0071902~positive regulation of protein serine/threonine kinase activity,GO:2000273~positive regulation of receptor activity,GO:2000467~positive regulation of glycogen (starch) synthase activity,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0031093~platelet alpha granule lumen,GO:0070062~extracellular exosome,	GO:0005158~insulin receptor binding,GO:0005159~insulin-like growth factor receptor binding,GO:0005179~hormone activity,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0030546~receptor activator activity,GO:0043539~protein serine/threonine kinase activator activity,	IPR013576:Insulin-like growth factor II E-peptide, C-terminal,IPR016179:Insulin-like,IPR022334:Insulin-like growth factor II,IPR022350:Insulin-like growth factor,IPR022352:Insulin family,IPR022353:Insulin, conserved site,	hsa05205:Proteoglycans in cancer,	616489~Growth restriction, severe, with distinctive facies,		SM00078:IlGF,	3D-structure,Alternative splicing,Carbohydrate metabolism,Cleavage on pair of basic residues,Complete proteome,Direct protein sequencing,Disulfide bond,Dwarfism,Glucose metabolism,Glycoprotein,Growth factor,Hormone,Mitogen,Osteogenesis,Polymorphism,Reference proteome,Secreted,Signal,	chain:Insulin-like growth factor II,chain:Insulin-like growth factor II Ala-25 Del,disulfide bond,glycosylation site:O-linked (GalNAc...),helix,peptide:Insulin A chain,peptide:Insulin B chain,peptide:Preptin,propeptide:C peptide,propeptide:E peptide,region of interest:A,region of interest:B,region of interest:C,region of interest:D,sequence conflict,sequence variant,signal peptide,splice variant,strand,turn,
IGFBP1	insulin like growth factor binding protein 1(IGFBP1)	Homo sapiens		h_ghrelinPathway:Ghrelin: Regulation of Food Intake and Energy Homeostasis,		GO:0001558~regulation of cell growth,GO:0007165~signal transduction,GO:0007568~aging,GO:0008286~insulin receptor signaling pathway,GO:0030307~positive regulation of cell growth,GO:0036499~PERK-mediated unfolded protein response,GO:0042246~tissue regeneration,GO:0043567~regulation of insulin-like growth factor receptor signaling pathway,GO:0044267~cellular protein metabolic process,GO:0090090~negative regulation of canonical Wnt signaling pathway,	GO:0005576~extracellular region,GO:0005615~extracellular space,	GO:0005102~receptor binding,GO:0005520~insulin-like growth factor binding,GO:0031994~insulin-like growth factor I binding,GO:0031995~insulin-like growth factor II binding,	IPR000716:Thyroglobulin type-1,IPR000867:Insulin-like growth factor-binding protein, IGFBP,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR009168:Insulin-like growth factor binding protein,IPR017891:Insulin-like growth factor binding protein, N-terminal, Cys-rich conserved site,IPR022321:Insulin-like growth factor-binding protein family 1-6, chordata,IPR022322:Insulin-like growth factor-binding protein 1,				SM00121:IB,SM00211:TY,	3D-structure,Complete proteome,Direct protein sequencing,Disulfide bond,Growth factor binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,	chain:Insulin-like growth factor-binding protein 1,disulfide bond,domain:IGFBP N-terminal,domain:Thyroglobulin type-1,helix,modified residue,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,strand,turn,
INSRR	insulin receptor related receptor(INSRR)	Homo sapiens				GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030238~male sex determination,GO:0031532~actin cytoskeleton reorganization,GO:0046777~protein autophosphorylation,GO:0071469~cellular response to alkaline pH,	GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0043235~receptor complex,	GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005524~ATP binding,GO:0043548~phosphatidylinositol 3-kinase binding,GO:0043560~insulin receptor substrate binding,	IPR000494:EGF receptor, L domain,IPR000719:Protein kinase, catalytic domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR002011:Tyrosine-protein kinase, receptor class II, conserved site,IPR003961:Fibronectin, type III,IPR006211:Furin-like cysteine-rich domain,IPR006212:Furin-like repeat,IPR008266:Tyrosine-protein kinase, active site,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR011009:Protein kinase-like domain,IPR013783:Immunoglobulin-like fold,IPR016246:Tyrosine-protein kinase, insulin-like receptor,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04810:Regulation of actin cytoskeleton,hsa05215:Prostate cancer,		PIRSF000620:insulin receptor,	SM00060:FN3,SM00219:TyrKc,SM00261:FU,	ATP-binding,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,Glycoprotein,Kinase,Membrane,Nucleotide-binding,Phosphoprotein,Polymorphism,Receptor,Reference proteome,Repeat,Signal,Transferase,Transmembrane,Transmembrane helix,Tyrosine-protein kinase,	active site:Proton acceptor,binding site:ATP,chain:Insulin receptor-related protein,chain:Insulin receptor-related protein alpha chain,chain:Insulin receptor-related protein beta chain,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,domain:Fibronectin type-III 3,domain:Protein kinase,glycosylation site:N-linked (GlcNAc...),modified residue,nucleotide phosphate-binding region:ATP,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ITIH1	inter-alpha-trypsin inhibitor heavy chain 1(ITIH1)	Homo sapiens				GO:0010951~negative regulation of endopeptidase activity,GO:0030212~hyaluronan metabolic process,	GO:0005576~extracellular region,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005509~calcium ion binding,	IPR002035:von Willebrand factor, type A,IPR010600:Inter-alpha-trypsin inhibitor heavy chain, C-terminal,IPR013694:VIT domain,				SM00327:VWA,SM00609:VIT,	Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Phosphoprotein,Polymorphism,Protease inhibitor,Proteoglycan,Proteomics identification,Reference proteome,Secreted,Serine protease inhibitor,Signal,	chain:Inter-alpha-trypsin inhibitor heavy chain H1,disulfide bond,domain:VIT,domain:VWFA,glycosylation site:N-linked (GlcNAc...),glycosylation site:N-linked (GlcNAc...) (complex),glycosylation site:O-linked (GalNAc...),glycosylation site:S-linked (Hex...),modified residue,region of interest:Hyaluronan-binding,sequence conflict,sequence variant,short sequence motif:Phagocytosis uptake signal,signal peptide,
IL20RB	interleukin 20 receptor subunit beta(IL20RB)	Homo sapiens				GO:0001808~negative regulation of type IV hypersensitivity,GO:0002437~inflammatory response to antigenic stimulus,GO:0002765~immune response-inhibiting signal transduction,GO:0019221~cytokine-mediated signaling pathway,GO:0032689~negative regulation of interferon-gamma production,GO:0032703~negative regulation of interleukin-2 production,GO:0032733~positive regulation of interleukin-10 production,GO:0032753~positive regulation of interleukin-4 production,GO:0042130~negative regulation of T cell proliferation,GO:0048873~homeostasis of number of cells within a tissue,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0004896~cytokine receptor activity,GO:0042015~interleukin-20 binding,	IPR003961:Fibronectin, type III,IPR013783:Immunoglobulin-like fold,IPR015373:Interferon alpha/beta receptor, beta chain,	hsa04060:Cytokine-cytokine receptor interaction,hsa04630:Jak-STAT signaling pathway,				3D-structure,Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Membrane,Receptor,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:Interleukin-20 receptor subunit beta,disulfide bond,domain:Fibronectin type-III 1,domain:Fibronectin type-III 2,glycosylation site:N-linked (GlcNAc...),signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
IRX2	iroquois homeobox 2(IRX2)	Homo sapiens				GO:0006355~regulation of transcription, DNA-templated,GO:0072086~specification of loop of Henle identity,GO:0072272~proximal/distal pattern formation involved in metanephric nephron development,	GO:0005634~nucleus,	GO:0043565~sequence-specific DNA binding,	IPR001356:Homeodomain,IPR003893:Iroquois-class homeodomain protein,IPR008422:Homeobox KN domain,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,				SM00389:HOX,SM00548:IRO,	Complete proteome,DNA-binding,Homeobox,Nucleus,Phosphoprotein,Reference proteome,	chain:Iroquois-class homeodomain protein irx-2,DNA-binding region:Homeobox; TALE-type,
ISM1	isthmin 1(ISM1)	Homo sapiens					GO:0005576~extracellular region,		IPR000884:Thrombospondin, type 1 repeat,IPR005533:AMOP,				SM00209:TSP1,SM00723:AMOP,	Complete proteome,Disulfide bond,Glycoprotein,Polymorphism,Reference proteome,Secreted,Signal,	chain:Isthmin-1,disulfide bond,domain:AMOP,domain:TSP type-1,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,
KLK1	kallikrein 1(KLK1)	Homo sapiens				GO:0006508~proteolysis,	GO:0005634~nucleus,GO:0070062~extracellular exosome,	GO:0004252~serine-type endopeptidase activity,	IPR001254:Peptidase S1,IPR001314:Peptidase S1A, chymotrypsin-type,IPR009003:Trypsin-like cysteine/serine peptidase domain,IPR018114:Peptidase S1, trypsin family, active site,	hsa04614:Renin-angiotensin system,hsa04961:Endocrine and other factor-regulated calcium reabsorption,	615953~Kallikrein, decreased urinary activity of,		SM00020:Tryp_SPc,	3D-structure,Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Hydrolase,Polymorphism,Protease,Reference proteome,Serine protease,Signal,Zymogen,	active site:Charge relay system,chain:Kallikrein-1,disulfide bond,domain:Peptidase S1,glycosylation site:N-linked (GlcNAc...),glycosylation site:N-linked (GlcNAc...); partial,glycosylation site:O-linked (GalNAc...),helix,propeptide:Activation peptide,sequence conflict,sequence variant,signal peptide,splice variant,strand,turn,
KRT15	keratin 15(KRT15)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0008544~epidermis development,	GO:0005634~nucleus,GO:0005882~intermediate filament,GO:0070062~extracellular exosome,	GO:0005198~structural molecule activity,GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,GO:0097110~scaffold protein binding,	IPR001664:Intermediate filament protein,IPR002957:Keratin, type I,IPR009053:Prefoldin,IPR018039:Intermediate filament protein, conserved site,				SM01391:SM01391,	Alternative splicing,Coiled coil,Complete proteome,Intermediate filament,Keratin,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Keratin, type I cytoskeletal 15,compositionally biased region:Gly-rich,compositionally biased region:Poly-Gly,region of interest:Coil 1A,region of interest:Coil 1B,region of interest:Coil 2,region of interest:Head,region of interest:Linker 1,region of interest:Linker 12,region of interest:Rod,region of interest:Tail,sequence variant,
KRT20	keratin 20(KRT20)	Homo sapiens				GO:0006915~apoptotic process,GO:0033554~cellular response to stress,GO:0045109~intermediate filament organization,GO:0050708~regulation of protein secretion,	GO:0005737~cytoplasm,GO:0005882~intermediate filament,	GO:0005200~structural constituent of cytoskeleton,GO:0005515~protein binding,	IPR001664:Intermediate filament protein,IPR002957:Keratin, type I,IPR018039:Intermediate filament protein, conserved site,				SM01391:SM01391,	Apoptosis,Coiled coil,Complete proteome,Cytoplasm,Direct protein sequencing,Intermediate filament,Keratin,Phosphoprotein,Polymorphism,Reference proteome,	chain:Keratin, type I cytoskeletal 20,modified residue,mutagenesis site,region of interest:Coil 1A,region of interest:Coil 1B,region of interest:Coil 2,region of interest:Head,region of interest:Linker 1,region of interest:Linker 12,region of interest:Rod,region of interest:Tail,sequence conflict,sequence variant,site:Cleavage; by caspases,
KLRG2	killer cell lectin like receptor G2(KLRG2)	Homo sapiens					GO:0016021~integral component of membrane,	GO:0030246~carbohydrate binding,	IPR001304:C-type lectin,IPR016186:C-type lectin-like,IPR016187:C-type lectin fold,				SM00034:CLECT,	Alternative splicing,Complete proteome,Disulfide bond,Lectin,Membrane,Phosphoprotein,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Killer cell lectin-like receptor subfamily G member 2,compositionally biased region:Pro-rich,disulfide bond,domain:C-type lectin,modified residue,sequence conflict,sequence variant,splice variant,transmembrane region,
KSR2	kinase suppressor of ras 2(KSR2)	Homo sapiens				GO:0006468~protein phosphorylation,GO:0035556~intracellular signal transduction,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0005524~ATP binding,GO:0046872~metal ion binding,	IPR000719:Protein kinase, catalytic domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR002219:Protein kinase C-like, phorbol ester/diacylglycerol binding,IPR008271:Serine/threonine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR025561:Kinase suppressor of RAS, SAM-like domain,	hsa04014:Ras signaling pathway,			SM00109:C1,SM00220:S_TKc,	3D-structure,Alternative splicing,ATP-binding,Complete proteome,Cytoplasm,Kinase,Membrane,Metal-binding,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Serine/threonine-protein kinase,Transferase,Zinc,Zinc-finger,	chain:Kinase suppressor of Ras 2,compositionally biased region:Pro-rich,domain:Protein kinase,metal ion-binding site:Zinc 1,metal ion-binding site:Zinc 2,modified residue,sequence variant,splice variant,zinc finger region:Phorbol-ester/DAG-type,
KLB	klotho beta(KLB)	Homo sapiens				GO:0000165~MAPK cascade,GO:0005975~carbohydrate metabolic process,GO:0008284~positive regulation of cell proliferation,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0043547~positive regulation of GTPase activity,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0090080~positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway,GO:1901657~glycosyl compound metabolic process,	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0004871~signal transducer activity,GO:0005088~Ras guanyl-nucleotide exchange factor activity,GO:0005104~fibroblast growth factor receptor binding,GO:0005515~protein binding,GO:0008422~beta-glucosidase activity,GO:0016303~1-phosphatidylinositol-3-kinase activity,GO:0017134~fibroblast growth factor binding,GO:0046934~phosphatidylinositol-4,5-bisphosphate 3-kinase activity,	IPR001360:Glycoside hydrolase, family 1,IPR013781:Glycoside hydrolase, catalytic domain,IPR017853:Glycoside hydrolase, superfamily,					Cell membrane,Complete proteome,Glycoprotein,Membrane,Polymorphism,Reference proteome,Repeat,Transmembrane,Transmembrane helix,	chain:Beta-klotho,glycosylation site:N-linked (GlcNAc...),region of interest:Glycosyl hydrolase-1 1,region of interest:Glycosyl hydrolase-1 2,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
LAMA1	laminin subunit alpha 1(LAMA1)	Homo sapiens		h_prionPathway:Prion Pathway,		GO:0007155~cell adhesion,GO:0007166~cell surface receptor signaling pathway,GO:0030155~regulation of cell adhesion,GO:0030198~extracellular matrix organization,GO:0030334~regulation of cell migration,GO:0045995~regulation of embryonic development,	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005604~basement membrane,GO:0005606~laminin-1 complex,GO:0005608~laminin-3 complex,GO:0005615~extracellular space,GO:0031012~extracellular matrix,	GO:0005102~receptor binding,GO:0005201~extracellular matrix structural constituent,GO:0005515~protein binding,	IPR000034:Laminin B type IV,IPR000742:Epidermal growth factor-like domain,IPR001791:Laminin G domain,IPR002049:EGF-like, laminin,IPR008211:Laminin, N-terminal,IPR009254:Laminin I,IPR010307:Laminin II,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,	615960~Poretti-Boltshauser syndrome,		SM00136:LamNT,SM00180:EGF_Lam,SM00181:EGF,SM00281:LamB,SM00282:LamG,	Basement membrane,Cell adhesion,Coiled coil,Complete proteome,Disulfide bond,Extracellular matrix,Glycoprotein,Laminin EGF-like domain,Phosphoprotein,Polymorphism,Reference proteome,Repeat,Secreted,Signal,	chain:Laminin subunit alpha-1,disulfide bond,domain:Laminin EGF-like 1,domain:Laminin EGF-like 10,domain:Laminin EGF-like 11,domain:Laminin EGF-like 12,domain:Laminin EGF-like 13,domain:Laminin EGF-like 14; first part,domain:Laminin EGF-like 14; second part,domain:Laminin EGF-like 15,domain:Laminin EGF-like 16,domain:Laminin EGF-like 17,domain:Laminin EGF-like 2,domain:Laminin EGF-like 3,domain:Laminin EGF-like 4,domain:Laminin EGF-like 5; first part,domain:Laminin EGF-like 5; second part,domain:Laminin EGF-like 6,domain:Laminin EGF-like 7,domain:Laminin EGF-like 8,domain:Laminin EGF-like 9,domain:Laminin G-like 1,domain:Laminin G-like 2,domain:Laminin G-like 3,domain:Laminin G-like 4,domain:Laminin G-like 5,domain:Laminin IV type A 1,domain:Laminin IV type A 2,domain:Laminin N-terminal,glycosylation site:N-linked (GlcNAc...),region of interest:Domain II and I,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,
LAMB3	laminin subunit beta 3(LAMB3)	Homo sapiens				GO:0007155~cell adhesion,GO:0008544~epidermis development,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0031581~hemidesmosome assembly,GO:0035987~endodermal cell differentiation,GO:0050873~brown fat cell differentiation,	GO:0005576~extracellular region,GO:0005610~laminin-5 complex,	GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0032403~protein complex binding,	IPR002049:EGF-like, laminin,IPR008211:Laminin, N-terminal,IPR008979:Galactose-binding domain-like,IPR013032:EGF-like, conserved site,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05200:Pathways in cancer,hsa05222:Small cell lung cancer,	104530~Amelogenesis imperfecta, type IA,226650~Epidermolysis bullosa, junctional, non-Herlitz type,226700~Epidermolysis bullosa, junctional, Herlitz type,		SM00136:LamNT,SM00180:EGF_Lam,	Amelogenesis imperfecta,Basement membrane,Cell adhesion,Coiled coil,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Epidermolysis bullosa,Extracellular matrix,Glycoprotein,Laminin EGF-like domain,Polymorphism,Proteomics identification,Reference proteome,Repeat,Secreted,Signal,	chain:Laminin subunit beta-3,disulfide bond,domain:Laminin EGF-like 1,domain:Laminin EGF-like 2,domain:Laminin EGF-like 3,domain:Laminin EGF-like 4,domain:Laminin EGF-like 5,domain:Laminin EGF-like 6,domain:Laminin N-terminal,glycosylation site:N-linked (GlcNAc...),region of interest:Domain alpha,region of interest:Domain I,region of interest:Domain II,sequence conflict,sequence variant,signal peptide,
